sent_packet_hex,timestamp,sender,raw_hex,status_code,status_meaning,utf8_matches
021000ff,2025-10-14T03:33:39.440204Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021000ff,2025-10-14T03:33:39.897224Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021000ff,2025-10-14T03:33:39.904557Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
021000ff,2025-10-14T03:33:39.949630Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,100f,Unknown Event F,
021001,2025-10-14T03:33:40.384484Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
021001,2025-10-14T03:33:40.399324Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021001,2025-10-14T03:33:40.422023Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,1000,Ready / Idle,
021002,2025-10-14T03:33:43.707111Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021002,2025-10-14T03:33:44.194487Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021002,2025-10-14T03:33:44.314797Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,100e,Unknown Event E,
02100200,2025-10-14T03:33:45.506807Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021002ff,2025-10-14T03:33:45.949673Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100e,100e,Unknown Event E,
021002ff,2025-10-14T03:33:46.107098Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021002ff,2025-10-14T03:33:46.136983Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021002ff,2025-10-14T03:33:46.212061Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,1000,Ready / Idle,
0402100300,2025-10-14T03:33:48.912299Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
0402100300,2025-10-14T03:33:49.009769Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
0402100300,2025-10-14T03:33:49.031963Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
021003ff,2025-10-14T03:33:49.182501Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,100f,Unknown Event F,
021004,2025-10-14T03:33:50.329768Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
021004,2025-10-14T03:33:50.352042Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021004,2025-10-14T03:33:50.381995Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,1000,Ready / Idle,
021004ff,2025-10-14T03:33:52.459613Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021004ff,2025-10-14T03:33:52.527071Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021004ff,2025-10-14T03:33:52.639597Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,100f,Unknown Event F,
021005,2025-10-14T03:33:53.832493Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
021005,2025-10-14T03:33:53.839564Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021005,2025-10-14T03:33:53.869449Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,1000,Ready / Idle,
03021005,2025-10-14T03:33:54.401969Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
03021005,2025-10-14T03:33:54.424457Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
03021005,2025-10-14T03:33:54.431779Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
02100500,2025-10-14T03:33:54.574690Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100f,100f,Unknown Event F,
02100500,2025-10-14T03:33:55.310011Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100b,100b,Unknown Event B,
0402100500,2025-10-14T03:33:55.534636Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,100a,100a,Unknown Event A,
0402100500,2025-10-14T03:33:55.549399Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1002,1002,Action Ended / Ack,
021005ff,2025-10-14T03:33:55.849635Z,57420003-587e-48a0-974c-544d6163c577 (Handle: 21): Unknown,1000,1000,Ready / Idle,
